state,country,Lat,Long,Date,confirm,death,recover
"Volusia County, FL",US,29.028,-81.0755,3/9/20,1,0,0
"Johnson County, IA",US,41.6699,-91.5984,3/9/20,3,0,0
"Harrison County, KY",US,38.4333,-84.3542,3/9/20,2,0,0
"Bennington County, VT",US,43.0279,-73.135,3/9/20,1,0,0
"Carver County, MN",US,44.8254,-93.7842,3/9/20,1,0,0
"Charlotte County, FL",US,26.8946,-81.9098,3/9/20,1,0,0
"Cherokee County, GA",US,34.2515,-84.4803,3/9/20,1,0,0
"Collin County, TX",US,33.1795,-96.493,3/9/20,1,0,0
"Jefferson County, KY",US,38.1938,-85.6435,3/9/20,1,0,0
"Jefferson Parish, LA",US,29.6499,-90.1121,3/9/20,1,0,0
"Shasta County, CA",US,40.7909,-121.8474,3/9/20,1,0,0
"Spartanburg County, SC",US,34.8606,-81.9535,3/9/20,1,0,0
Washington,US,47.4009,-121.4905,3/9/20,0,0,0
New York,US,42.1657,-74.9481,3/9/20,0,0,0
California,US,36.1162,-119.6816,3/9/20,0,0,0
Massachusetts,US,42.2302,-71.5301,3/9/20,0,0,0
Diamond Princess,US,35.4437,139.638,3/9/20,45,0,0
Grand Princess,US,37.6489,-122.6655,3/9/20,21,0,0
Georgia,US,33.0406,-83.6431,3/9/20,0,0,0
Colorado,US,39.0598,-105.3111,3/9/20,0,0,0
Florida,US,27.7663,-81.6868,3/9/20,0,0,0
New Jersey,US,40.2989,-74.521,3/9/20,0,0,0
Oregon,US,44.572,-122.0709,3/9/20,0,0,0
Texas,US,31.0545,-97.5635,3/9/20,0,0,0
Illinois,US,40.3495,-88.9861,3/9/20,0,0,0
Pennsylvania,US,40.5908,-77.2098,3/9/20,0,0,0
Iowa,US,42.0115,-93.2105,3/9/20,0,0,0
Maryland,US,39.0639,-76.8021,3/9/20,0,0,0
North Carolina,US,35.6301,-79.8064,3/9/20,0,0,0
South Carolina,US,33.8569,-80.945,3/9/20,0,0,0
Tennessee,US,35.7478,-86.6923,3/9/20,0,0,0
Virginia,US,37.7693,-78.17,3/9/20,0,0,0
Arizona,US,33.7298,-111.4312,3/9/20,0,0,0
Indiana,US,39.8494,-86.2583,3/9/20,0,0,0
Kentucky,US,37.6681,-84.6701,3/9/20,0,0,0
District of Columbia,US,38.8974,-77.0268,3/9/20,0,0,0
Nevada,US,38.3135,-117.0554,3/9/20,0,0,0
New Hampshire,US,43.4525,-71.5639,3/9/20,0,0,0
Minnesota,US,45.6945,-93.9002,3/9/20,0,0,0
Nebraska,US,41.1254,-98.2681,3/9/20,0,0,0
Ohio,US,40.3888,-82.7649,3/9/20,0,0,0
Rhode Island,US,41.6809,-71.5118,3/9/20,0,0,0
Wisconsin,US,44.2685,-89.6165,3/9/20,0,0,0
Connecticut,US,41.5978,-72.7554,3/9/20,0,0,0
Hawaii,US,21.0943,-157.4983,3/9/20,0,0,0
Oklahoma,US,35.5653,-96.9289,3/9/20,0,0,0
Utah,US,40.15,-111.8624,3/9/20,0,0,0
Kansas,US,38.5266,-96.7265,3/9/20,0,0,0
Louisiana,US,31.1695,-91.8678,3/9/20,0,0,0
Missouri,US,38.4561,-92.2884,3/9/20,0,0,0
Vermont,US,44.0459,-72.7107,3/9/20,0,0,0
Alaska,US,61.3707,-152.4044,3/9/20,0,0,0
Arkansas,US,34.9697,-92.3731,3/9/20,0,0,0
Delaware,US,39.3185,-75.5071,3/9/20,0,0,0
Idaho,US,44.2405,-114.4788,3/9/20,0,0,0
Maine,US,44.6939,-69.3819,3/9/20,0,0,0
Michigan,US,43.3266,-84.5361,3/9/20,0,0,0
Mississippi,US,32.7416,-89.6787,3/9/20,0,0,0
Montana,US,46.9219,-110.4544,3/9/20,0,0,0
New Mexico,US,34.8405,-106.2485,3/9/20,0,0,0
North Dakota,US,47.5289,-99.784,3/9/20,0,0,0
South Dakota,US,44.2998,-99.4388,3/9/20,0,0,0
West Virginia,US,38.4912,-80.9545,3/9/20,0,0,0
Wyoming,US,42.756,-107.3025,3/9/20,0,0,0
"Kitsap, WA",US,47.6477,-122.6413,3/9/20,0,0,0
"Solano, CA",US,38.3105,-121.9018,3/9/20,0,0,0
"Santa Cruz, CA",US,37.0454,-121.958,3/9/20,0,0,0
"Napa, CA",US,38.5025,-122.2654,3/9/20,0,0,0
"Ventura, CA",US,34.3705,-119.1391,3/9/20,0,0,0
"Worcester, MA",US,42.4097,-71.8571,3/9/20,0,0,0
"Gwinnett, GA",US,33.9191,-84.0167,3/9/20,0,0,0
"DeKalb, GA",US,33.7956,-84.2279,3/9/20,0,0,0
"Floyd, GA",US,37.5455,-82.7779,3/9/20,0,0,0
"Fayette, GA",US,33.4502,-84.4803,3/9/20,0,0,0
"Gregg, TX",US,32.4893,-94.8521,3/9/20,0,0,0
"Monmouth, NJ",US,40.2589,-74.124,3/9/20,0,0,0
"Burlington, NJ",US,40.0712,-74.8649,3/9/20,0,0,0
"Camden, NJ",US,39.9259,-75.1196,3/9/20,0,0,0
"Passaic, NJ",US,40.8568,-74.1285,3/9/20,0,0,0
"Union, NJ",US,40.6976,-74.2632,3/9/20,0,0,0
"Eagle, CO",US,39.6553,-106.8287,3/9/20,0,0,0
"Larimer, CO",US,40.6956,-105.5943,3/9/20,0,0,0
"Arapahoe, CO",US,39.6203,-104.3326,3/9/20,0,0,0
"Gunnison, CO",US,38.5458,-106.9253,3/9/20,0,0,0
"Kane, IL",US,41.9879,-88.4016,3/9/20,0,0,0
"Monroe, PA",US,41.0458,-75.2479,3/9/20,0,0,0
"Philadelphia, PA",US,39.9526,-75.1652,3/9/20,0,0,0
"Norfolk, VA",US,36.8508,-76.2859,3/9/20,0,0,0
"Arlington, VA",US,38.8816,-77.09100000000002,3/9/20,0,0,0
"Spotsylvania, VA",US,38.2042,-77.6078,3/9/20,0,0,0
"Loudoun, VA",US,39.0768,-77.6536,3/9/20,0,0,0
"Prince George, MD",US,38.7849,-76.8721,3/9/20,0,0,0
"Pottawattamie, IA",US,41.3912,-95.4778,3/9/20,0,0,0
"Camden, SC",US,34.2465,-80.607,3/9/20,0,0,0
"Pima, AZ",US,32.0575,-111.6661,3/9/20,0,0,0
"Noble, IN",US,41.4277,-85.355,3/9/20,0,0,0
"Adams, IN",US,39.8522,-77.2865,3/9/20,0,0,0
"Boone, IN",US,40.0106,-86.4997,3/9/20,0,0,0
"Dane, WI",US,43.0186,-89.5498,3/9/20,0,0,0
"Pierce, WI",US,44.7509,-92.3814,3/9/20,0,0,0
"Cuyahoga, OH",US,41.4339,-81.6758,3/9/20,0,0,0
"Weber, UT",US,41.2603,-111.9522,3/9/20,0,0,0
"Wilton, CT",US,41.1954,-73.4379,3/9/20,0,0,0
